code,term
17452711000001100,Singulair Paediatric 4mg granules sachets (Mawdsley-Brooks & Company Ltd) (AMP)
17452911000001103,Singulair Paediatric 4mg chewable tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17453211000001101,Singulair Paediatric 5mg chewable tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17453611000001104,Singulair 10mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17457311000001102,Symbicort 100/6 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17457611000001107,Symbicort 200/6 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17457811000001106,Symbicort 400/12 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17495111000001101,Bambec 10mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17616311000001108,Oxis 6 Turbohaler (Necessity Supplies Ltd) (AMP)
17616911000001109,Oxis 12 Turbohaler (Necessity Supplies Ltd) (AMP)
18058411000001109,Foradil 12microgram inhalation powder capsules with device (Lexon (UK) Ltd) (AMP)
18185011000001106,Seretide 100 Accuhaler (Necessity Supplies Ltd) (AMP)
18185211000001101,Seretide 250 Accuhaler (Necessity Supplies Ltd) (AMP)
18185411000001102,Seretide 500 Accuhaler (Necessity Supplies Ltd) (AMP)
18185611000001104,Seretide 125 Evohaler (Necessity Supplies Ltd) (AMP)
18185811000001100,Seretide 250 Evohaler (Necessity Supplies Ltd) (AMP)
18186011000001102,Serevent 50micrograms/dose Accuhaler (Necessity Supplies Ltd) (AMP)
18186311000001104,Serevent 25micrograms/dose Evohaler (Necessity Supplies Ltd) (AMP)
18190111000001103,Singulair Paediatric 4mg chewable tablets (Necessity Supplies Ltd) (AMP)
18190411000001108,Singulair Paediatric 5mg chewable tablets (Necessity Supplies Ltd) (AMP)
18191011000001108,Singulair 10mg tablets (Necessity Supplies Ltd) (AMP)
18195111000001106,Symbicort 100/6 Turbohaler (Necessity Supplies Ltd) (AMP)
18195311000001108,Symbicort 200/6 Turbohaler (Necessity Supplies Ltd) (AMP)
18195511000001102,Symbicort 400/12 Turbohaler (Necessity Supplies Ltd) (AMP)
18611411000001104,Seretide 500 Accuhaler (DE Pharmaceuticals) (AMP)
18611611000001101,Serevent 25micrograms/dose Evohaler (DE Pharmaceuticals) (AMP)
19562111000001107,Neovent 25micrograms/dose inhaler CFC free (Teva UK Ltd) (AMP)
19568411000001100,Neovent 25micrograms/dose inhaler CFC free (Kent Pharma (UK) Ltd) (AMP)
20638911000001108,Salmeterol 25micrograms/dose inhaler CFC free (A A H Pharmaceuticals Ltd) (AMP)
21019411000001101,Flutiform 125micrograms/dose / 5micrograms/dose inhaler (Napp Pharmaceuticals Ltd) (AMP)
21019711000001107,Flutiform 250micrograms/dose / 10micrograms/dose inhaler (Napp Pharmaceuticals Ltd) (AMP)
21020611000001104,Flutiform 50micrograms/dose / 5micrograms/dose inhaler (Napp Pharmaceuticals Ltd) (AMP)
21113711000001102,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free (VMP)
21113811000001105,Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free (VMP)
21113911000001100,Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free (VMP)
21866011000001104,Foradil 12microgram inhalation powder capsules with device (Waymade Healthcare Plc) (AMP)
22106311000001108,Montelukast 4mg chewable tablets sugar free (Actavis UK Ltd) (AMP)
22106511000001102,Montelukast 5mg chewable tablets sugar free (Actavis UK Ltd) (AMP)
22106711000001107,Montelukast 10mg tablets (Actavis UK Ltd) (AMP)
22111911000001102,Montelukast 10mg tablets (Teva UK Ltd) (AMP)
22112411000001100,Montelukast 4mg chewable tablets sugar free (Teva UK Ltd) (AMP)
22112611000001102,Montelukast 5mg chewable tablets sugar free (Teva UK Ltd) (AMP)
22112811000001103,Montelukast 4mg granules sachets sugar free (Teva UK Ltd) (AMP)
22129111000001105,Montelukast 10mg tablets (A A H Pharmaceuticals Ltd) (AMP)
22156811000001105,Montelukast 4mg chewable tablets sugar free (A A H Pharmaceuticals Ltd) (AMP)
22157111000001100,Montelukast 5mg chewable tablets sugar free (A A H Pharmaceuticals Ltd) (AMP)
22157311000001103,Montelukast 4mg granules sachets sugar free (A A H Pharmaceuticals Ltd) (AMP)
22164911000001100,Montelukast 10mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
22165111000001104,Montelukast 4mg chewable tablets sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
22165311000001102,Montelukast 5mg chewable tablets sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
22165511000001108,Montelukast 4mg granules sachets sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
22217311000001106,Montelukast 4mg chewable tablets sugar free (Krka UK Ltd) (AMP)
22217511000001100,Montelukast 5mg chewable tablets sugar free (Krka UK Ltd) (AMP)
22217711000001105,Montelukast 10mg tablets (Krka UK Ltd) (AMP)
22351611000001108,Montelukast 10mg tablets (Dexcel-Pharma Ltd) (AMP)
22352011000001109,Montelukast 5mg chewable tablets sugar free (Dexcel-Pharma Ltd) (AMP)
22352211000001104,Montelukast 4mg chewable tablets sugar free (Dexcel-Pharma Ltd) (AMP)
22497111000001107,Montelukast 10mg tablets (Dr Reddy's Laboratories (UK) Ltd) (AMP)
22650111000001100,Vertine 25micrograms/dose inhaler CFC free (Teva UK Ltd) (AMP)
22948111000001104,Montelukast 10mg tablets (Sun Pharma UK Ltd) (AMP)
22948311000001102,Montelukast 4mg chewable tablets sugar free (Sun Pharma UK Ltd) (AMP)
22948511000001108,Montelukast 5mg chewable tablets sugar free (Sun Pharma UK Ltd) (AMP)
23484811000001100,Montelukast 10mg tablets (Accord-UK Ltd) (AMP)
23562811000001102,Montelukast 4mg chewable tablets sugar free (Accord-UK Ltd) (AMP)
23563511000001107,Montelukast 5mg chewable tablets sugar free (Accord-UK Ltd) (AMP)
23621711000001102,Relvar Ellipta 184micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd) (AMP)
23622011000001107,Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd) (AMP)
23661311000001105,Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (VMP)
23661411000001103,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (VMP)
23959611000001107,Montelukast 4mg chewable tablets sugar free (Milpharm Ltd) (AMP)
23960511000001107,Montelukast 5mg chewable tablets sugar free (Milpharm Ltd) (AMP)
23960811000001105,Montelukast 10mg tablets (Milpharm Ltd) (AMP)
23972911000001108,Montelukast 4mg chewable tablets sugar free (Dr Reddy's Laboratories (UK) Ltd) (AMP)
23973411000001109,Montelukast 5mg chewable tablets sugar free (Dr Reddy's Laboratories (UK) Ltd) (AMP)
